ID Cliente,Nombre,Edad,Género,Provincia,Nivel de Ingresos,Ocupación
1,Hilda Galindo Villar,31,Masculino,Misiones,Medio,"Doctor, general practice"
2,Felicidad Machado-Mesa,74,Femenino,Santa Fe,Bajo,"Surveyor, planning and development"
3,Rosa Llanos Carvajal,46,Femenino,Jujuy,Medio,Information officer
4,Ignacia Sevillano Cabrero,51,Femenino,Río Negro,Medio,Forest/woodland manager
5,Lara Cabeza Calvet,35,Masculino,Corrientes,Medio,Herpetologist
6,Ulises Almagro,71,Femenino,Entre Ríos,Medio,"Accountant, chartered"
7,Yaiza Barón Ribes,24,Femenino,Jujuy,Bajo,Tax adviser
8,Úrsula Ruiz-Borrás,46,Masculino,Neuquén,Alto,Early years teacher
9,Albert Bauzà-Sarabia,72,Masculino,Entre Ríos,Medio,Clinical research associate
10,Rosalina Oliver,48,Femenino,Mendoza,Medio,Web designer
11,Pascuala Prado,42,Femenino,La Rioja,Bajo,Further education lecturer
12,Jose Miguel Leal,55,Otro,Entre Ríos,Bajo,"Surveyor, minerals"
13,Desiderio Garmendia Gámez,31,Femenino,Neuquén,Medio,Land/geomatics surveyor
14,Itziar Bernat-Villegas,25,Femenino,La Rioja,Alto,Personnel officer
15,Agapito Wálter Carpio Maza,44,Femenino,La Pampa,Bajo,Warehouse manager
16,Áurea Baeza Busquets,71,Masculino,San Luis,Bajo,Land/geomatics surveyor
17,Ibán Mascaró Roldán,19,Masculino,Misiones,Bajo,Financial controller
18,Daniel Flor Reyes,34,Masculino,San Juan,Bajo,Museum/gallery conservator
19,Irene Rey Castañeda,54,Femenino,Mendoza,Bajo,"Horticulturist, amenity"
20,Benita Marqués-Salmerón,31,Femenino,Chaco,Medio,Interpreter
21,Baldomero Lloret,42,Femenino,Salta,Alto,"Teacher, adult education"
22,Claudia Cerdá Pedrero,73,Masculino,San Luis,Bajo,Arts development officer
23,Manuel Canales-Camino,47,Femenino,Formosa,Medio,Recycling officer
24,Natividad Alcolea Ugarte,46,Masculino,Tierra del Fuego,Bajo,"Geneticist, molecular"
25,Lina Fuertes,37,Masculino,Corrientes,Bajo,Health promotion specialist
26,Lupe Bou-Cabrera,38,Femenino,Buenos Aires,Bajo,Horticultural therapist
27,Eduardo Moreno Pont,70,Femenino,Corrientes,Medio,Senior tax professional/tax inspector
28,Irma Castells Acuña,39,Otro,Corrientes,Bajo,Armed forces training and education officer
29,Olegario Abellán Piñol,52,Masculino,Santa Cruz,Medio,"Horticulturist, commercial"
30,Concha Vidal Riera,54,Femenino,Corrientes,Bajo,Lexicographer
31,Adolfo de Canales,33,Masculino,Entre Ríos,Bajo,Restaurant manager
32,Natalia de Egea,67,Masculino,Río Negro,Bajo,Tree surgeon
33,Gracia Hidalgo,66,Femenino,Catamarca,Alto,Transport planner
34,Casandra Lluch,60,Femenino,Mendoza,Medio,"Exhibitions officer, museum/gallery"
35,Fernando de Verdejo,34,Femenino,Jujuy,Alto,Clinical embryologist
36,Pía Ureña,33,Masculino,San Juan,Bajo,Paramedic
37,Febe Buendía Quintero,72,Femenino,Corrientes,Bajo,Planning and development surveyor
38,Felipe Ramirez Cobo,19,Masculino,Santa Fe,Bajo,Applications developer
39,Albano Alfonso Vendrell,21,Femenino,Santa Fe,Bajo,Animal nutritionist
40,Augusto Vergara,38,Masculino,Chubut,Medio,"Investment banker, corporate"
41,Tamara Ferrando Torrens,56,Masculino,Tierra del Fuego,Bajo,IT trainer
42,Rosalinda Cabrera-Leiva,51,Femenino,Tucumán,Bajo,Lawyer
